,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
108,Nepal,Cntry/Terr,29137,203.3,6.31,20,0.01,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
46,Ghana,Cntry/Terr,31073,136.6,7.19,74,0.01,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
87,Madagascar,Cntry/Terr,27691,47.6,5.85,19,0,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
74,Jordan,Cntry/Terr,10203,114.9,3.93,70,0,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA
20,Democratic Republic of the Congo,Cntry/Terr,89561,39.5,9.17,76,0,0.02,0.02,NA,NA,NA,NA,NA,NA,NA,NA
82,Libya,Cntry/Terr,6871,3.9,5.14,64,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
182,Venezuela (Bolivarian Republic of),Cntry/Terr,28436,32.2,7.14,69,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
161,Thailand,Cntry/Terr,69800,136.6,7.95,96,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
43,State of Palestine,Cntry/Terr,5101,847.4,3.46,72,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
11,Sri Lanka,Cntry/Terr,21413,341.5,6.87,68,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
181,Uzbekistan,Cntry/Terr,33469,78.7,5.83,70,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
150,Botswana,Cntry/Terr,2352,4.1,5.86,65,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
184,Zambia,Cntry/Terr,18384,24.7,6.33,64,0,0.01,0.02,NA,NA,NA,NA,NA,NA,NA,NA
42,Gambia,Cntry/Terr,2417,238.8,7.55,70,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
104,Mozambique,Cntry/Terr,31255,39.7,8.12,11,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
205,Hainan,China,9690,285,6.01,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
175,United Republic of Tanzania,Cntry/Terr,59734,67.4,6.21,66,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
159,Syrian Arab Republic,Cntry/Terr,17501,95.3,4.8,68,0,0,0.01,NA,NA,NA,NA,NA,NA,NA,NA
57,"China, Hong Kong SAR",Cntry/Terr,7497,7140,6.88,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
27,Benin,Cntry/Terr,12123,107.5,8.58,60,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
149,Zimbabwe,Cntry/Terr,14863,38.4,7.85,74,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
88,Malawi,Cntry/Terr,19130,202.9,6.37,59,0,0.01,0.01,NA,NA,NA,NA,NA,NA,NA,NA
187,Beijing,China,22086,1314.7,5.58,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
15,"China, Taiwan Province of China",Cntry/Terr,23817,672.6,7.82,110,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
33,Ethiopia,Cntry/Terr,114964,115,6.33,61,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
193,Heilongjiang,China,38461,84.7,6.67,133,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
194,Shanghai,China,24896,3926.1,5.4,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
200,Henan,China,98844,591.9,6.8,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
35,Angola,Cntry/Terr,32866,26.4,7.89,66,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
3,Burundi,Cntry/Terr,11891,463,7.66,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2,Myanmar,Cntry/Terr,54410,83.3,8.31,66,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
188,Tianjin,China,16016,1416.7,5.42,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
206,Chongqing,China,32032,389.2,7.54,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
212,Xinjiang,China,25870,15.6,4.56,113,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
196,Anhui,China,65274,467.2,5.96,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
210,Shaanxi,China,39620,192.7,6.24,107,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
211,Gansu,China,27141,59.7,6.65,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
192,Jilin,China,27592,147.2,6.26,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
199,Shandong,China,103253,671.3,7.18,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
203,Guangdong,China,118131,656.3,4.55,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
189,Hebei,China,77845,414.7,6.38,133,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
202,Hunan,China,70934,337.8,7.08,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
208,Guizhou,China,37149,211.1,6.85,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
190,Inner Mongolia,China,26044,22,5.95,94,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
191,Liaoning,China,44624,305.9,7.39,113,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
209,Yunnan,China,49812,126.4,6.32,107,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
204,Guangxi,China,50858,215.5,5.96,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
207,Sichuan,China,85874,177.1,7.01,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
197,Fujian,China,40737,335.1,6.2,107,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
198,Jiangxi,China,47843,286.5,6.06,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
195,Zhejiang,China,59983,588.1,5.58,106,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
