LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
IND,India,Cntry/Terr,1380004.385,464.149,7.237,181,0.364905318,0.637321383,0.918538356,365,0.27612521,0.482263458,0.695061385,7.716014069,68.08982691,70.78147931,69.40282808,-0.54216409,-0.377953171,-0.462061203
ATG,Antigua and Barbuda,Cntry/Terr,97.928,222.564,6.344,181,0.76191957,0.91631496,1.320637372,365,0.398251777,0.478953521,0.690290945,6.999524883,75.16417451,77.73595464,76.4187014,-0.80029495,-0.508213229,-0.657816062
MX07,Chiapas,Mexico,5412.678969,73.8003337,4.528434843,181,0.173242712,0.299862478,0.432176284,365,0.271030299,0.469121132,0.676120031,5.794197639,70.88453998,76.45417224,73.60143376,-0.731717022,-0.593575762,-0.664331042
US02,Alaska,U.S.A.,745.4689664,0.504626932,5.96,181,0.454458261,0.437663968,0.630782446,365,0.482917487,0.465071496,0.6702835,7.220419804,75.35963859,80.41916809,77.82770176,-0.900739625,-0.862260727,-0.881969431
PRI,Puerto Rico,Cntry/Terr,2860.84,322.53,9.346,181,0.737313872,0.405740484,0.58477278,365,0.837516254,0.460881401,0.664244533,11.18993923,75.8133582,82.72858642,79.18664026,-0.923364492,-0.885821557,-0.905050865
SLV,El Salvador,Cntry/Terr,6486.201,313.041,7.024,181,0.326136477,0.43312789,0.624244833,365,0.339489942,0.450862056,0.649804169,7.536406489,68.07437283,77.43336374,72.63973425,-0.609844723,-0.570696197,-0.590747881
US33,New Hampshire,U.S.A.,1372.566998,59.08418595,9.31,181,0.899150022,0.548623879,0.790703229,365,0.728561885,0.444538106,0.640689786,10.76926203,75.49960437,81.19955071,78.280066,-0.828653253,-0.736793287,-0.783843514
US53,Washington,U.S.A.,7627.572498,44.23181191,7.7,181,0.650109443,0.478989834,0.690343281,365,0.601501985,0.443176667,0.638727616,8.545299413,77.03332067,81.70011805,79.3098072,-0.89566198,-0.763109441,-0.831002205
IT17,Basilicata,Italy,564.2859478,56.07689301,11.1,181,1.193607451,0.530121052,0.764036062,365,0.997721106,0.443121365,0.638647911,12.64029984,77.80395503,84.69754093,81.16667986,-0.949761036,-0.861505536,-0.906709572
PHL,Philippines,Cntry/Terr,109581.085,367.512,5.831,181,0.281798694,0.582677787,0.839783365,365,0.212545806,0.439482944,0.633404043,6.26277457,66.9352434,75.11382786,70.92479679,-0.442716751,-0.499881133,-0.470601815
ZWE,Zimbabwe,Cntry/Terr,14862.927,38.42,8.074,181,0.189678067,0.705432024,1.0167027,365,0.118011748,0.438897694,0.632560553,7.928298248,59.48731085,62.71445187,61.06152599,-0.28067956,-0.220588632,-0.251366912
JAM,Jamaica,Cntry/Terr,2961.161,273.422,7.562,181,0.51960917,0.620327559,0.894046036,365,0.356279176,0.425338512,0.613018405,7.983829543,72.31664743,75.85491851,74.04263332,-0.648554633,-0.412235641,-0.533277076
AFG,Afghanistan,Cntry/Terr,38928.341,59.627,6.517,181,0.134841185,0.548967667,0.791198714,365,0.103985937,0.423349267,0.610151409,6.358909025,63.29557075,66.4390498,64.82897516,-0.355346423,-0.251292465,-0.304588395
SAU,Saudi Arabia,Cntry/Terr,34813.867,16.195,3.47,181,0.091578578,0.213937004,0.308336342,365,0.176797366,0.413016885,0.595259881,3.865204753,73.55084984,76.54272113,75.01029925,-0.537468257,-0.390544786,-0.465798271
NLD,Netherlands,Cntry/Terr,17134.873,508.152,8.715,181,0.765327209,0.447743121,0.645309009,365,0.694256678,0.406164381,0.58538372,9.856546495,79.89044604,83.37290452,81.58920628,-0.870992795,-0.687657548,-0.781560967
DOM,Dominican Republic,Cntry/Terr,10847.904,224.501,6.127,181,0.260439343,0.367490022,0.529644368,365,0.282819612,0.39906945,0.575158164,6.637091213,70.4601822,76.87593348,73.58981697,-0.686639467,-0.630447726,-0.659228862
US41,Oregon,U.S.A.,4244.225318,17.0693214,8.84,181,0.614347907,0.404444588,0.582905071,365,0.603879344,0.397552803,0.572972298,9.852407573,76.49735206,81.20564785,78.79408171,-0.774302241,-0.653493075,-0.715370941
MAR,Morocco,Cntry/Terr,36910.558,82.703,5.059,181,0.104023299,0.161591439,0.232893385,365,0.245566594,0.381467032,0.549788709,5.44412604,75.0839093,77.71771736,76.36869372,-0.531556848,-0.376348703,-0.455845558
IT20,Sardegna,Italy,1643.577444,68.23987434,9.9,181,0.912845024,0.413043967,0.595298913,365,0.826246433,0.373859851,0.538824872,11.43503235,79.24853878,85.27468436,82.18812199,-0.866374899,-0.786575944,-0.827448579
STP,Sao Tome and Principe,Cntry/Terr,219.161,228.293,4.869,181,0.184026774,0.626817356,0.903399445,365,0.109508535,0.37299926,0.537584547,4.789804007,67.73333816,72.67820069,70.14546622,-0.366852279,-0.294981043,-0.33179314
GLP,Guadeloupe,Cntry/Terr,400.127,245.778,8.189,181,0.564461667,0.325031404,0.468450956,365,0.632299245,0.364094009,0.524749869,9.44197702,77.80503133,84.74036381,81.18812035,-0.83437229,-0.845858299,-0.839975221
IDN,Indonesia,Cntry/Terr,273523.621,150.987,6.447,181,0.264572381,0.470597293,0.678247546,365,0.201620613,0.358624412,0.516866822,6.879893,69.31515045,73.82116996,71.51320875,-0.386348125,-0.31116285,-0.349672381
ES04,Balears (Illes),Spain,1137.723314,227.9093177,6.7,181,0.66467432,0.430850742,0.620962897,365,0.544947961,0.353242523,0.509110183,8.031213226,80.43789864,85.4469084,82.88131804,-0.797544913,-0.71184785,-0.755741468
GMB,Gambia,Cntry/Terr,2416.664,238.801,7.994,181,0.047563398,0.202816454,0.292308869,365,0.074069047,0.315839957,0.455203799,7.651451466,60.7531859,63.67726282,62.17956488,-0.225041679,-0.152762083,-0.189783339
US23,Maine,U.S.A.,1355.887065,16.96150026,10.99,181,0.759996639,0.415927051,0.599454152,365,0.555355987,0.303932368,0.438042006,12.33087441,75.50374051,80.67047217,78.02409742,-0.555834676,-0.465008383,-0.511529167
CAN,Canada,Cntry/Terr,37742.157,4.15,7.712,181,0.567109152,0.357332923,0.515005465,365,0.466216067,0.293760644,0.423382027,8.506367803,79.98241854,83.91830928,81.90236524,-0.663946843,-0.571598311,-0.618898778
EGY,Egypt,Cntry/Terr,102334.403,102.802,5.833,181,0.167833742,0.365319807,0.526516548,365,0.12894002,0.280660747,0.404501823,5.903277272,69.58513335,74.27838961,71.87452665,-0.286982044,-0.232010816,-0.260166811
IT18,Calabria,Italy,1949.986623,128.1470989,10.1,181,0.777679226,0.376418095,0.542511937,365,0.577952683,0.279744965,0.403181953,11.33431381,78.49981242,84.68318606,81.51609224,-0.616100391,-0.533690264,-0.575900329
ES06,Cantabria,Spain,579.7329059,108.9518711,10.33,181,0.615686462,0.275538305,0.397119112,365,0.610626025,0.273273607,0.393855119,11.80939722,80.19358932,86.1889894,83.11817472,-0.595926536,-0.604635066,-0.600174599
KAZ,Kazakhstan,Cntry/Terr,18776.707,6.955,7.129,181,0.082266615,0.123463532,0.177941605,365,0.177826708,0.266877559,0.384636827,7.456945659,68.91252873,77.36824537,73.03726855,-0.272655501,-0.29078079,-0.281497105
GNQ,Equatorial Guinea,Cntry/Terr,1402.985,50.017,9.434,181,0.050307103,0.209494194,0.30193315,365,0.063436174,0.264167669,0.380731202,8.957013046,57.83420944,60.12422423,58.95128982,-0.175808365,-0.114704516,-0.146001609
KEN,Kenya,Cntry/Terr,53771.3,94.478,5.518,181,0.073167973,0.298291155,0.429911618,365,0.064588358,0.263313788,0.379500547,5.532828322,64.19824171,69.00141677,66.54125394,-0.227856564,-0.18008123,-0.204551523
MWI,Malawi,Cntry/Terr,19129.955,202.906,6.772,181,0.10594157,0.446328942,0.643270826,365,0.061683365,0.259870335,0.374537676,6.46061889,61.1692224,67.49371099,64.25433878,-0.184990431,-0.160722585,-0.173152457
ES12,Galicia,Spain,2697.559136,91.21079075,11.57,181,0.780447716,0.302863159,0.436501012,365,0.668752716,0.259518423,0.374030484,13.68398182,80.00611469,85.92814158,82.89490829,-0.586179426,-0.55550294,-0.571215287
MRT,Mauritania,Cntry/Terr,4649.66,4.511,7.268,181,0.060718513,0.204247747,0.294371717,365,0.076994877,0.258998934,0.373281771,7.15600195,63.21349412,66.54752698,64.83985161,-0.224402223,-0.158774255,-0.19238858
MYS,Malaysia,Cntry/Terr,32365.998,98.512,5.054,181,0.288909872,0.458148771,0.660306135,365,0.154081453,0.244339966,0.352154559,5.550776117,73.94167998,78.1665825,76.00260804,-0.40949837,-0.271807764,-0.342332221
