"","LocID","Location","Loc_type","Mid_2020_pop","PopDensity","CDR_year","Days_Est","CCDR_Est","CCMR_Est","ISCDR_Est","Days_Proj","CCDR_Proj","CCMR_Proj","ISCDR_Proj","2020_e0_M","2020_e0_F","Diff_e0_M","Diff_e0_F"
"1","ABW","Aruba","Cntry/Terr",106.766,593.144,9.376,78,0.131848370051543,0.14483251691285,0.16725659122132,NA,NA,NA,NA,NA,NA,NA,NA
"12","AZE","Azerbaijan","Cntry/Terr",10139.175,122.664,6.893,106,0.0725357664887606,0.141037207480618,0.162873663051624,198,0.126873537871223,0.246690568677127,0.284885083010833,70.4155496175559,75.2957659556661,-0.118696135698059,-0.266759221981644
"130","FIN","Finland","Cntry/Terr",5540.718,18.233,9.8955,103,0.210354427550147,0.140591385325844,0.162358815312402,195,0.107807551492285,0.0720536914264587,0.0832095931893114,79.2163545293217,84.7553636308382,-0.0635696926412948,-0.0730876051818683
"260","TCD","Chad","Cntry/Terr",16425.859,13.045,11.7515,65,0.0253671313674934,0.139232691661896,0.160789758338251,157,0.0142664681995557,0.0783044302154873,0.0904281190062514,53.0487802878967,55.0678690165304,-0.0170101074706963,-0.854301316639202
"308","US41","Oregon","U.S.A.",4244.22531758762,17.0693214041612,8.84,106,0.168401956911857,0.138589362215414,0.160046823722845,198,0.217195060808016,0.178744508114451,0.206419095407588,77.1189438909921,81.6774381354461,-0.15270606111828,-0.181719707378008
"106","DZA","Algeria","Cntry/Terr",43851.043,18.411,4.728,113,0.0673624001240923,0.136532911064762,0.157671977128981,205,0.245390974209956,0.497368621013853,0.574375022297529,75.4386630639732,77.8678961370869,-0.403503431825925,-0.431269510896669
"128","EST","Estonia","Cntry/Terr",1326.539,31.294,11.8895,99,0.192298084783718,0.13595615505951,0.157005923362458,191,0.103758709371763,0.073358167846487,0.0847160385925478,74.4236483986494,82.7125685998792,-0.0471965747598659,-0.0642049895577799
"232","PRI","Puerto Rico","Cntry/Terr",2860.84,322.53,9.831,103,0.190038556127788,0.130537463548504,0.150748268725716,195,0.187705818423422,0.128935106272925,0.148897822282164,76.6241274841378,83.4668065299465,-0.112729356852029,-0.149920137616405
"172","IT14","Molise","Italy",306.556281184158,68830.7459829011,12.1,108,0.254258187577702,0.129488185920944,0.149536533937346,200,0.250624319297655,0.127637535540943,0.147399351758239,79.9737774283009,85.6988493712192,-0.123859652067409,-0.129090679845362
"206","MLI","Mali","Cntry/Terr",20250.834,16.596,9.2345,91,0.0230385301933466,0.129266353711204,0.149280355973895,183,0.0289371404654248,0.162362729019695,0.187500964397144,58.7655812112851,59.6827187939728,-0.0480019295540828,-0.734751321952416
"254","SVN","Slovenia","Cntry/Terr",2078.932,103.224,10.2005,107,0.182633315082289,0.126042800784055,0.145557708009827,199,0.0987959723081431,0.0681831847069717,0.0787398251151286,78.6840931657239,84.0744009853305,-0.0561401356718108,-0.069598023425641
