LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
ZAF,South Africa,Cntry/Terr,"59,308.690",48.9,9.52,281,0.63,1.54,1.92,9.99,0.48,60.2,67.1,63.6,-0.65,-0.62,-0.64
SSD,South Sudan,Cntry/Terr,"11,193.729",18.3,10.56,233,0.01,0.03,0.04,10.24,0.01,56.6,59.6,58.0,-0.01,-0.01,-0.01
ESP,Spain,Cntry/Terr,"46,754.783",93.7,9.02,304,1.31,0.77,0.97,10.77,1.09,79.7,85.2,82.4,-1.22,-1.12,-1.18
LKA,Sri Lanka,Cntry/Terr,"21,413.250",341.5,6.62,279,0.01,0.02,0.02,7.01,0.01,73.8,80.4,77.0,-0.02,-0.01,-0.01
PSE,State of Palestine,Cntry/Terr,"5,101.416",847.4,3.46,283,0.35,1.33,1.66,3.77,0.27,71.5,75.1,73.3,-1.05,-0.80,-0.93
SDN,Sudan,Cntry/Terr,"43,849.269",24.8,7.24,293,0.04,0.14,0.18,7.15,0.03,63.6,67.3,65.4,-0.10,-0.07,-0.09
SUR,Suriname,Cntry/Terr,586.634,3.8,7.32,271,0.28,0.49,0.62,7.74,0.21,68.2,74.9,71.5,-0.34,-0.32,-0.33
SWE,Sweden,Cntry/Terr,"10,099.270",24.6,9.19,293,1.08,0.70,0.88,10.05,0.86,80.2,83.8,81.9,-1.05,-0.86,-0.96
CHE,Switzerland,Cntry/Terr,"8,654.618",219.0,8.01,303,1.07,0.70,0.88,9.20,0.88,80.8,84.7,82.7,-1.17,-0.97,-1.07
SYR,Syrian Arab Republic,Cntry/Terr,"17,500.657",95.3,5.52,279,0.05,0.13,0.17,5.07,0.04,69.2,78.3,73.7,-0.10,-0.10,-0.10
TJK,Tajikistan,Cntry/Terr,"9,537.642",68.1,4.90,245,0.01,0.05,0.06,4.74,0.01,69.0,73.6,71.2,-0.03,-0.02,-0.02
THA,Thailand,Cntry/Terr,"69,799.978",136.6,7.61,307,0.00,0.00,0.00,8.17,0.00,73.6,81.0,77.2,0.00,0.00,0.00
TGO,Togo,Cntry/Terr,"8,278.737",152.2,8.56,279,0.01,0.05,0.06,8.27,0.01,60.4,62.2,61.3,-0.02,-0.01,-0.02
TTO,Trinidad and Tobago,Cntry/Terr,"1,399.491",272.8,8.32,283,0.12,0.14,0.18,8.89,0.09,70.8,76.2,73.5,-0.13,-0.11,-0.12
TUN,Tunisia,Cntry/Terr,"11,818.618",76.1,6.26,288,0.50,0.74,0.92,6.78,0.40,74.2,78.3,76.2,-0.70,-0.56,-0.63
TUR,Turkey,Cntry/Terr,"84,339.067",109.6,5.40,290,0.31,0.46,0.58,5.90,0.25,74.4,80.3,77.3,-0.49,-0.44,-0.46
TCA,Turks and Caicos Islands,Cntry/Terr,38.718,40.8,NA,272,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UKR,Ukraine,Cntry/Terr,"43,733.759",75.5,15.19,295,0.55,0.48,0.59,15.40,0.44,66.9,76.6,71.6,-0.29,-0.33,-0.31
ARE,United Arab Emirates,Cntry/Terr,"9,890.400",118.3,1.45,287,0.09,0.32,0.40,1.77,0.07,77.1,79.2,78.1,-0.37,-0.26,-0.32
GBR,United Kingdom,Cntry/Terr,"67,886.004",280.6,9.38,302,1.31,0.91,1.13,10.59,1.08,78.5,82.0,80.2,-1.32,-1.04,-1.18
TZA,United Republic of Tanzania,Cntry/Terr,"59,734.213",67.4,6.50,277,0.00,0.00,0.00,6.26,0.00,63.8,67.4,65.6,0.00,0.00,0.00
USA,United States of America,Cntry/Terr,"331,002.647",36.2,8.69,306,1.25,1.00,1.25,10.10,1.04,75.1,80.3,77.7,-1.35,-1.17,-1.26
VIR,United States Virgin Islands,Cntry/Terr,104.423,298.4,8.47,271,0.30,0.22,0.28,9.53,0.22,77.9,83.0,80.4,-0.25,-0.24,-0.25
URY,Uruguay,Cntry/Terr,"3,473.727",19.8,9.47,277,0.07,0.06,0.07,9.71,0.05,74.3,81.5,77.8,-0.06,-0.07,-0.06
UZB,Uzbekistan,Cntry/Terr,"33,469.199",78.7,5.77,281,0.02,0.06,0.07,5.90,0.02,69.6,73.9,71.7,-0.04,-0.03,-0.04
VEN,Venezuela (Bolivarian Republic of),Cntry/Terr,"28,435.943",32.2,6.95,280,0.05,0.08,0.10,7.33,0.04,68.4,76.1,72.2,-0.06,-0.06,-0.06
YEM,Yemen,Cntry/Terr,"29,825.968",56.5,6.01,247,0.03,0.13,0.16,6.00,0.02,64.5,67.9,66.1,-0.07,-0.05,-0.06
ZMB,Zambia,Cntry/Terr,"18,383.956",24.7,6.58,275,0.03,0.15,0.19,6.35,0.02,60.9,66.9,63.8,-0.07,-0.06,-0.07
ZWE,Zimbabwe,Cntry/Terr,"14,862.927",38.4,8.07,285,0.03,0.13,0.17,7.84,0.02,59.7,62.9,61.3,-0.06,-0.05,-0.05
BR12,Acre,Brazil,892.059,5.4,NA,270,1.21,1.64,2.05,NA,NA,NA,NA,NA,NA,NA,NA
BR27,Alagoas,Brazil,"3,375.667",121.2,NA,277,0.97,1.32,1.65,NA,NA,NA,NA,NA,NA,NA,NA
BR16,Amapa,Brazil,855.439,6.0,NA,273,1.45,1.97,2.46,NA,NA,NA,NA,NA,NA,NA,NA
BR13,Amazonas (BR),Brazil,"4,192.173",2.7,NA,283,1.63,2.21,2.77,NA,NA,NA,NA,NA,NA,NA,NA
BR29,Bahia,Brazil,"15,043.792",26.6,NA,279,0.80,1.08,1.35,NA,NA,NA,NA,NA,NA,NA,NA
BR23,Ceara,Brazil,"9,236.905",62.0,NA,282,1.40,1.91,2.38,NA,NA,NA,NA,NA,NA,NA,NA
BR53,Distrito Federal,Brazil,"3,049.880",529.4,NA,279,1.83,2.49,3.11,NA,NA,NA,NA,NA,NA,NA,NA
BR32,Espirito Santo,Brazil,"4,064.780",88.2,NA,275,1.66,2.26,2.82,NA,NA,NA,NA,NA,NA,NA,NA
BR52,Goias,Brazil,"7,098.918",20.9,NA,282,1.24,1.69,2.11,NA,NA,NA,NA,NA,NA,NA,NA
BR21,Maranhao,Brazil,"7,156.397",21.7,NA,278,0.83,1.12,1.40,NA,NA,NA,NA,NA,NA,NA,NA
BR51,Mato Grosso,Brazil,"3,524.464",3.9,NA,274,1.69,2.29,2.87,NA,NA,NA,NA,NA,NA,NA,NA
BR50,Mato Grosso do Sul,Brazil,"2,810.886",7.9,NA,277,1.09,1.49,1.86,NA,NA,NA,NA,NA,NA,NA,NA
BR31,Minas Gerais,Brazil,"21,411.788",36.5,NA,278,0.73,0.99,1.24,NA,NA,NA,NA,NA,NA,NA,NA
BR15,Para,Brazil,"8,701.617",7.0,NA,276,1.10,1.49,1.86,NA,NA,NA,NA,NA,NA,NA,NA
BR25,Paraiba,Brazil,"4,064.251",72.0,NA,276,1.20,1.63,2.03,NA,NA,NA,NA,NA,NA,NA,NA
BR41,Parana,Brazil,"11,565.208",58.0,NA,281,0.90,1.22,1.52,NA,NA,NA,NA,NA,NA,NA,NA
