LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,2020_e0_B,Diff_e0_M,Diff_e0_F,Diff_e0_B
ES05,Canarias,Spain,2136.113,286.8,7.05,127,0.22,0.18,0.20,234,0.11,0.09,0.10,72.9,85.1,78.9,-0.1,-0.09,-0.07
BHS,Bahamas,Cntry/Terr,393.248,39.3,6.97,107,0.10,0.18,0.20,214,0.05,0.09,0.10,71.7,76.2,73.8,-0.1,-0.04,-0.05
SDN,Sudan,Cntry/Terr,43849.269,24.8,7.06,125,0.04,0.18,0.19,232,0.05,0.19,0.21,63.6,67.4,65.4,-0.1,-0.06,-0.08
SRB,Serbia,Cntry/Terr,8737.370,99.9,13.23,120,0.19,0.17,0.19,227,2.47,2.23,2.47,72.2,77.7,74.9,-1.3,-1.01,-1.15
ATG,Antigua and Barbuda,Cntry/Terr,97.928,222.6,6.51,101,0.11,0.17,0.19,208,0.06,0.10,0.11,75.9,78.2,77.0,-0.1,-0.04,-0.06
VIR,United States Virgin Islands,Cntry/Terr,104.423,298.4,9.05,103,0.20,0.17,0.19,210,0.53,0.45,0.50,77.8,82.9,80.3,-0.4,-0.34,-0.34
BLR,Belarus,Cntry/Terr,9449.321,46.6,12.56,108,0.17,0.17,0.19,215,0.12,0.12,0.14,69.7,79.5,74.5,-0.1,-0.07,-0.06
ARG,Argentina,Cntry/Terr,45195.777,16.5,7.61,133,0.13,0.17,0.19,240,0.68,0.90,1.00,72.8,79.5,76.0,-0.6,-0.62,-0.63
ES18,Ceuta,Spain,83.673,4183.6,6.29,113,0.15,0.17,0.19,220,0.09,0.10,0.11,72.1,82.8,77.3,-0.1,-0.07,-0.06
COM,Comoros,Cntry/Terr,869.595,467.3,7.09,76,0.04,0.17,0.19,183,0.02,0.08,0.09,62.7,66.3,64.5,0.0,-0.02,-0.02
AUT,Austria,Cntry/Terr,9006.400,109.3,9.93,128,0.23,0.17,0.18,235,0.13,0.10,0.11,79.3,83.9,81.5,-0.1,-0.08,-0.09
ISR,Israel,Cntry/Terr,8655.541,400.0,5.32,120,0.14,0.16,0.18,227,0.78,0.94,1.04,80.5,83.8,82.1,-1.0,-0.80,-0.93
SLE,Sierra Leone,Cntry/Terr,7976.985,110.5,11.38,88,0.03,0.16,0.18,195,0.02,0.10,0.11,54.1,55.8,54.9,0.0,-0.02,-0.02
IT15,Campania,Italy,5801.773,424534.7,9.20,129,0.21,0.16,0.18,236,0.12,0.09,0.10,78.3,84.1,81.1,-0.1,-0.08,-0.08
US56,Wyoming,U.S.A.,584.633,2.3,8.23,88,0.17,0.16,0.17,195,0.07,0.06,0.07,76.8,81.4,79.0,-0.1,-0.05,-0.05
SEN,Senegal,Cntry/Terr,16743.930,87.0,5.52,108,0.03,0.15,0.17,215,0.41,1.94,2.15,65.2,69.6,67.4,-0.8,-0.53,-0.65
US41,Oregon,U.S.A.,4244.225,17.1,8.84,122,0.18,0.15,0.17,229,0.23,0.20,0.22,77.1,81.7,79.3,-0.2,-0.16,-0.17
HUN,Hungary,Cntry/Terr,9660.350,106.7,12.74,125,0.18,0.15,0.16,232,0.11,0.09,0.10,73.3,80.3,76.7,-0.1,-0.06,-0.06
US54,West Virginia,U.S.A.,1828.890,29.3,12.82,103,0.19,0.15,0.16,210,0.11,0.09,0.10,72.4,77.9,75.1,-0.1,-0.05,-0.05
DZA,Algeria,Cntry/Terr,43851.043,18.4,4.73,129,0.07,0.14,0.16,236,0.12,0.25,0.28,75.6,78.2,76.9,-0.2,-0.15,-0.19
COG,Congo,Cntry/Terr,5518.092,16.2,6.62,108,0.03,0.14,0.16,215,0.02,0.12,0.13,63.1,66.1,64.6,0.0,-0.03,-0.04
GUY,Guyana,Cntry/Terr,786.559,4.0,7.67,128,0.07,0.14,0.16,235,0.72,1.47,1.63,66.0,72.4,69.1,-1.0,-0.85,-0.94
IT20,Sardegna,Italy,1643.577,68239.9,9.90,125,0.24,0.14,0.16,232,0.63,0.37,0.41,79.7,85.7,82.6,-0.4,-0.39,-0.40
IT10,Umbria,Italy,884.495,104653.3,11.40,127,0.26,0.14,0.15,234,0.18,0.09,0.11,81.3,86.1,83.7,-0.1,-0.10,-0.11
PSE,State of Palestine,Cntry/Terr,5101.416,847.4,3.46,115,0.03,0.14,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GUM,Guam,Cntry/Terr,168.783,312.6,5.36,118,0.09,0.13,0.15,225,0.05,0.08,0.09,77.0,83.6,80.2,-0.1,-0.07,-0.06
PRI,Puerto Rico,Cntry/Terr,2860.840,322.5,9.83,119,0.18,0.13,0.15,226,0.10,0.07,0.08,76.7,83.5,80.0,-0.1,-0.07,-0.07
HTI,Haiti,Cntry/Terr,11402.533,413.7,8.42,103,0.05,0.13,0.14,210,0.17,0.48,0.53,61.8,66.3,64.0,-0.2,-0.17,-0.19
FIN,Finland,Cntry/Terr,5540.718,18.2,9.90,119,0.18,0.13,0.14,226,0.10,0.07,0.08,79.2,84.8,81.9,-0.1,-0.06,-0.07
MNE,Montenegro,Cntry/Terr,628.062,46.7,10.77,115,0.12,0.13,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KAZ,Kazakhstan,Cntry/Terr,18776.707,7.0,7.24,113,0.06,0.13,0.14,220,0.19,0.38,0.42,69.0,77.5,73.1,-0.2,-0.18,-0.18
ABW,Aruba,Cntry/Terr,106.766,593.1,9.38,94,0.11,0.12,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EST,Estonia,Cntry/Terr,1326.539,31.3,11.89,115,0.17,0.12,0.14,222,0.09,0.06,0.07,74.4,82.7,78.5,0.0,-0.05,-0.05
IND,India,Cntry/Terr,1380004.385,464.1,7.33,128,0.05,0.12,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MLI,Mali,Cntry/Terr,20250.834,16.6,9.23,107,0.02,0.12,0.13,214,0.01,0.07,0.08,58.8,60.4,59.6,0.0,-0.01,-0.02
IT14,Molise,Italy,306.556,68830.7,12.10,124,0.22,0.12,0.13,231,0.12,0.06,0.07,80.0,85.8,82.8,-0.1,-0.06,-0.07
NIC,Nicaragua,Cntry/Terr,6624.554,55.0,5.10,113,0.05,0.12,0.13,220,0.04,0.10,0.11,71.1,78.1,74.5,-0.1,-0.06,-0.07
TCD,Chad,Cntry/Terr,16425.859,13.0,11.75,81,0.02,0.12,0.13,188,0.01,0.05,0.05,53.1,55.9,54.4,0.0,-0.01,-0.01
NOR,Norway,Cntry/Terr,5421.242,14.8,7.95,127,0.14,0.12,0.13,234,0.07,0.06,0.07,80.6,84.4,82.5,-0.1,-0.06,-0.06
