LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
FRA,France,Cntry/Terr,65273.512,119.209,9.3895,147,1.143634821,0.769092389,0.865275495,261,0.74773959,0.502853549,0.565740683,79.26326913,84.97773271,-0.613321163,-0.612291206
US35,New Mexico,U.S.A.,2121.624299,6.749585789,8.94,103,0.892693945,0.757993331,0.852788383,217,0.734796359,0.62392127,0.701949198,74.6573644,80.58087296,-0.567046819,-0.565140593
MX05,Coahuila,Mexico,3150.456468,20.74787105,5.309652084,103,0.371078913,0.731467825,0.822945583,217,1.122588559,2.212837712,2.489576381,NA,NA,NA,NA
CHI,Channel Islands,Cntry/Terr,173.859,915.047,7.8875,107,0.924693891,0.726388987,0.817231583,NA,NA,NA,NA,NA,NA,NA,NA
US39,Ohio,U.S.A.,11827.21457,111.5068049,10.61,112,0.83055723,0.690650517,0.777023641,226,0.782133453,0.650383688,0.73172102,74.0353235,79.28686123,-0.522638247,-0.501176577
US51,Virginia,U.S.A.,8614.990303,84.00098971,8.1,112,0.734747117,0.68322734,0.768672116,226,0.975609671,0.907200838,1.020655861,76.1457715,80.87300051,-0.838610029,-0.761306399
ES06,Cantabria,Spain,579.7329059,108.9518711,10.33,116,1.175571085,0.669088757,0.752765356,230,1.10635551,0.629693979,0.708443845,73.55154156,86.08933518,-0.393705207,-0.704289286
MX14,Jalisco,Mexico,8442.703892,107.3904182,5.330797877,109,0.378227887,0.661429986,0.744148774,223,1.15331161,2.016865778,2.269096092,NA,NA,NA,NA
MX19,Nuevo Leon,Mexico,5360.736534,83.51926647,4.967488693,97,0.342778717,0.655981315,0.738018689,211,1.17287488,2.244550105,2.525254743,NA,NA,NA,NA
MKD,North Macedonia,Cntry/Terr,2083.38,82.608,10.2455,111,0.572925545,0.655808555,0.737824324,225,1.192227122,1.36470219,1.535372577,73.11278284,77.30773401,-0.814645108,-0.677521396
US01,Alabama,U.S.A.,4944.685616,37.61844948,10.92,107,0.738805085,0.653809275,0.735575013,221,1.153140527,1.020477508,1.148098971,72.21155068,77.85993564,-0.715959817,-0.679123551
DJI,Djibouti,Cntry/Terr,988.002,42.623,7.0525,93,0.223063412,0.651249505,0.732695117,207,0.15207008,0.443979421,0.499503725,65.00561423,68.99377836,-0.199404369,-0.450650814
MDA,Republic of Moldova,Cntry/Terr,4033.963,122.799,11.81,113,0.501020298,0.648110955,0.729164058,227,0.659826362,0.853539656,0.960283783,67.37102685,75.76277259,-0.350690116,-0.466038819
IT05,Veneto,Italy,4914.725138,267217.9912,10,138,1.099243215,0.646272889,0.727096122,252,0.794471226,0.467089728,0.525504219,80.29752026,85.74037143,-0.569484787,-0.529101844
HND,Honduras,Cntry/Terr,9904.608,88.521,4.4775,107,0.243126711,0.644729195,0.725359373,221,1.090887401,2.892841155,3.254621419,70.98101397,75.76094328,-2.144376149,-1.948513046
QAT,Qatar,Cntry/Terr,2881.06,248.153,1.3245,105,0.171801847,0.643866002,0.724388229,219,0.178951653,0.670661506,0.754534793,78.65814327,81.49803985,-0.669475648,-0.640874178
BHR,Bahrain,Cntry/Terr,1701.583,2238.925,2.4675,118,0.187751392,0.638450811,0.718295811,232,0.808615256,2.749705668,3.093585331,74.63674609,77.19049371,-1.92221813,-1.355607594
US19,Iowa,U.S.A.,3194.037144,22.07107123,9.71,107,0.793552297,0.637820558,0.717586739,221,0.436003625,0.350439506,0.394265658,76.57697926,81.39288262,-0.314468166,-0.323988178
OMN,Oman,Cntry/Terr,5106.622,16.5,2.454,102,0.165828512,0.60370515,0.679204839,216,0.796472203,2.899588036,3.262212069,74.22990048,78.49815337,-2.097747897,-1.990620331
ZAF,South Africa,Cntry/Terr,59308.69,48.891,9.4545,106,0.216570764,0.59677715,0.67141042,NA,NA,NA,NA,NA,NA,NA,NA
SAU,Saudi Arabia,Cntry/Terr,34813.867,16.195,3.5785,109,0.202545042,0.595578309,0.670061652,223,0.398317389,1.171241691,1.317717804,73.37178532,76.37503376,-0.716532781,-0.558232153
MX16,Michoacan,Mexico,4992.690384,85.1423756,5.553158937,105,0.379800954,0.59099356,0.664903531,219,0.699214326,1.088020342,1.224088748,NA,NA,NA,NA
US32,Nevada,U.S.A.,3070.509339,10.7965868,8.22,111,0.613174086,0.589949309,0.663728685,225,0.690936005,0.664765893,0.747901871,75.37287956,80.45478661,-0.601348901,-0.574268845
IT13,Abruzzo,Italy,1314.662443,121463.3779,11.2,123,1.050218582,0.579356405,0.651811027,237,0.749501821,0.413465051,0.465173212,79.46898845,85.35014506,-0.463201157,-0.436557553
ES10,Comunitat Valenciana,Spain,4976.319402,213.9892239,8.81,125,0.842569711,0.57522634,0.647164454,239,0.718174396,0.490301068,0.551618382,73.16962985,85.15661713,-0.317327244,-0.489354965
MX11,Guanajuato,Mexico,6295.742217,205.6362575,4.945344574,94,0.312936925,0.571527542,0.643003083,208,1.160988703,2.120353867,2.385526457,NA,NA,NA,NA
BR52,Goias,Brazil,7098.917858,20.86669134,NA,107,0.370536928,0.56053905,0.630640364,221,1.040482846,1.574016576,1.770863931,NA,NA,NA,NA
CAN,Canada,Cntry/Terr,37742.157,4.15,7.826,123,0.693559698,0.559781236,0.629787777,237,0.447200252,0.360941258,0.406080764,80.2362368,84.09619399,-0.41012858,-0.393713598
MX10,Durango,Mexico,1858.666308,15.02473172,5.646890811,112,0.302405777,0.548465096,0.617056434,226,1.012677881,1.836666208,2.066360667,NA,NA,NA,NA
GTM,Guatemala,Cntry/Terr,17915.567,167.185,4.722,119,0.187467594,0.514311451,0.578631517,233,0.859071013,2.356834325,2.651581287,69.78685011,75.76117545,-1.778469993,-1.580220257
US45,South Carolina,U.S.A.,5145.408473,65.97709479,9.84,112,0.574766946,0.505559729,0.568785299,226,1.277403588,1.123592468,1.264109543,73.48215441,79.0833387,-0.89544719,-0.827078632
LUX,Luxembourg,Cntry/Terr,625.976,241.69,7.108,120,0.53596304,0.499005824,0.561411759,234,0.695708141,0.647735736,0.728741914,79.65518889,83.857193,-0.673530741,-0.597949368
COL,Colombia,Cntry/Terr,50882.884,45.861,5.727,111,0.310464937,0.494233782,0.556042923,225,1.076039609,1.712963567,1.927187708,73.23334659,78.87223263,-1.463588096,-1.286645584
US06,California,U.S.A.,40011.01516,99.0443494,6.78,122,0.514283377,0.493499213,0.555216489,236,0.652207585,0.625849374,0.704118432,77.96893867,82.88287663,-0.711998739,-0.677734751
MRT,Mauritania,Cntry/Terr,4649.66,4.511,7.062,99,0.114495175,0.492332492,0.553903858,213,0.062832039,0.270179547,0.303968346,63.33058074,66.08876445,-0.107315596,-0.617536784
ES04,Balears (Illes),Spain,1137.723314,227.9093177,6.7,122,0.590653274,0.48847101,0.549559456,236,0.325177824,0.268922475,0.302554063,74.29884801,85.86302879,-0.184987481,-0.295727459
ES03,Asturias (Principado de),Spain,1024.060356,96.57302491,12.64,122,0.978457953,0.476392147,0.535970004,236,0.541955789,0.263867733,0.296867173,72.86753281,85.73782208,-0.163187589,-0.286307344
US29,Missouri,U.S.A.,6200.299778,34.74608441,10.12,113,0.560518145,0.474133257,0.533428616,227,0.456956626,0.386532238,0.434872167,74.67180645,79.86608819,-0.326873596,-0.338898662
CHE,Switzerland,Cntry/Terr,8654.618,219.016,8.1105,128,0.649541233,0.473828016,0.533085201,242,0.382247518,0.278842318,0.313714487,81.66609494,85.40260367,-0.341557903,-0.314237278
US53,Washington,U.S.A.,7627.572498,44.23181191,7.7,136,0.497126399,0.469594515,0.528322257,250,0.481669237,0.454993403,0.511895122,77.43691411,81.99111521,-0.492068543,-0.472112285
IT09,Toscana,Italy,3740.108828,295717.2038,11.6,124,0.883879749,0.460671372,0.518283181,238,0.624050457,0.32525033,0.365926311,80.67081276,85.75419388,-0.382004867,-0.356114885
US31,Nebraska,U.S.A.,1952.140757,9.804175498,8.79,104,0.511982312,0.44560772,0.50133566,218,0.505752094,0.440185202,0.495234999,77.06298255,81.40593739,-0.402287279,-0.390679661
