LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
PRT,Portugal,Cntry/Terr,"10,196.707",111.3,10.59,144,0.43,0.28,0.31,260,0.37,0.24,0.26,11.52,0.26,79.0,84.7,81.8,-0.3,-0.24,-0.25
MNE,Montenegro,Cntry/Terr,628.062,46.7,10.70,136,0.26,0.26,0.29,252,1.17,1.20,1.34,11.65,0.81,73.7,78.7,76.2,-0.9,-0.68,-0.77
GNB,Guinea-Bissau,Cntry/Terr,"1,967.998",70.0,9.72,104,0.05,0.25,0.28,220,0.02,0.12,0.13,9.37,0.01,56.5,60.5,58.5,0.0,-0.02,-0.03
SRB,Serbia,Cntry/Terr,"8,737.370",99.9,13.17,141,0.27,0.25,0.27,257,0.31,0.28,0.31,13.45,0.22,73.3,78.6,75.9,-0.2,-0.15,-0.17
AZE,Azerbaijan,Cntry/Terr,"10,139.175",122.7,6.75,143,0.12,0.24,0.27,259,0.18,0.35,0.39,7.02,0.12,70.3,75.4,72.8,-0.2,-0.17,-0.19
GAB,Gabon,Cntry/Terr,"2,225.728",8.6,6.91,141,0.06,0.22,0.25,257,0.10,0.36,0.41,6.82,0.07,64.3,68.6,66.4,-0.2,-0.12,-0.15
PAK,Pakistan,Cntry/Terr,"220,892.331",286.5,6.98,142,0.07,0.22,0.25,258,0.08,0.26,0.29,6.99,0.06,66.3,68.4,67.3,-0.2,-0.09,-0.13
IT12,Lazio,Italy,"5,885.980","341,707.9",9.70,155,0.35,0.22,0.24,271,0.67,0.42,0.47,10.81,0.50,79.6,85.1,82.3,-0.5,-0.48,-0.52
VIR,United States Virgin Islands,Cntry/Terr,104.423,298.4,8.47,124,0.25,0.21,0.24,240,0.77,0.64,0.72,9.81,0.50,77.6,82.7,80.0,-0.6,-0.55,-0.56
ES14,Murcia (Region de),Spain,"1,479.460",130.8,7.65,141,0.26,0.21,0.24,257,0.17,0.14,0.15,8.37,0.12,80.4,85.5,82.9,-0.2,-0.14,-0.15
ISR,Israel,Cntry/Terr,"8,655.541",400.0,5.33,141,0.17,0.21,0.23,257,1.02,1.22,1.36,6.17,0.71,80.0,83.4,81.7,-1.5,-1.17,-1.35
DNK,Denmark,Cntry/Terr,"5,792.203",136.5,9.72,146,0.27,0.21,0.23,262,0.34,0.26,0.29,10.20,0.24,78.8,82.7,80.7,-0.3,-0.24,-0.26
IT16,Puglia,Italy,"4,034.220","206,586.8",9.60,157,0.32,0.20,0.23,273,0.84,0.53,0.59,10.83,0.63,79.6,85.0,82.2,-0.7,-0.59,-0.65
PSE,State of Palestine,Cntry/Terr,"5,101.416",847.4,3.46,136,0.05,0.20,0.22,252,0.83,3.44,3.83,4.06,0.57,70.4,74.4,72.4,-2.1,-1.57,-1.85
CMR,Cameroon,Cntry/Terr,"26,545.864",56.2,9.36,137,0.04,0.20,0.22,253,0.03,0.13,0.14,8.97,0.02,58.2,60.8,59.5,0.0,-0.03,-0.04
LBR,Liberia,Cntry/Terr,"5,057.677",52.5,7.60,126,0.04,0.19,0.21,242,0.05,0.22,0.25,7.43,0.04,62.8,65.7,64.2,-0.1,-0.06,-0.08
BHS,Bahamas,Cntry/Terr,393.248,39.3,6.71,128,0.10,0.19,0.21,244,0.07,0.13,0.14,7.15,0.05,71.6,76.1,73.8,-0.1,-0.07,-0.08
ZMB,Zambia,Cntry/Terr,"18,383.956",24.7,6.58,128,0.03,0.19,0.21,244,0.12,0.71,0.79,6.41,0.08,60.7,66.7,63.6,-0.3,-0.22,-0.25
