LocID,Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,CDR_2020,CCDR_2020,e0_2020_M,e0_2020_F,e0_2020_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
IT09,Toscana,Italy,"3,740.109","295,717.2",11.60,257,0.79,0.44,0.47,299,1.55,0.87,0.92,13.24,1.27,79.9,85.1,82.4,-1.17,-1.01,-1.10
ES10,Comunitat Valenciana,Spain,"4,976.319",214.0,8.81,258,0.61,0.44,0.47,300,0.85,0.62,0.66,10.37,0.70,79.6,85.0,82.2,-0.79,-0.69,-0.74
US54,West Virginia,U.S.A.,"1,828.890",29.3,12.82,229,0.54,0.43,0.46,271,0.92,0.73,0.77,14.02,0.68,71.9,77.5,74.6,-0.59,-0.50,-0.55
GLP,Guadeloupe,Cntry/Terr,400.127,245.8,8.19,239,0.55,0.43,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMB,Gambia,Cntry/Terr,"2,416.664",238.8,7.99,239,0.08,0.43,0.45,281,0.07,0.39,0.41,7.63,0.05,60.8,63.7,62.2,-0.16,-0.11,-0.13
MAR,Morocco,Cntry/Terr,"36,910.558",82.7,5.06,256,0.20,0.41,0.43,298,0.35,0.71,0.75,5.47,0.28,75.0,77.7,76.3,-0.60,-0.42,-0.51
POL,Poland,Cntry/Terr,"37,846.605",123.6,10.09,254,0.46,0.40,0.43,296,0.98,0.86,0.91,11.35,0.79,74.2,81.9,77.9,-0.81,-0.80,-0.81
RUS,Russian Federation,Cntry/Terr,"145,934.460",8.9,12.72,241,0.36,0.39,0.41,283,0.49,0.53,0.56,13.22,0.38,66.9,77.5,72.1,-0.29,-0.35,-0.32
PRI,Puerto Rico,Cntry/Terr,"2,860.840",322.5,9.35,245,0.51,0.39,0.41,287,0.83,0.63,0.66,10.98,0.65,76.0,82.9,79.4,-0.72,-0.68,-0.70
IT06,Friuli-Venezia Giulia,Italy,"1,218.962","155,147.8",11.90,258,0.67,0.38,0.40,300,1.41,0.79,0.83,13.33,1.16,79.8,85.0,82.3,-1.05,-0.94,-1.00
GEO,Georgia,Cntry/Terr,"3,989.175",57.4,12.85,231,0.34,0.37,0.40,273,0.94,1.03,1.09,13.27,0.70,68.9,77.6,73.2,-0.57,-0.58,-0.57
ALB,Albania,Cntry/Terr,"2,877.800",105.0,7.82,253,0.33,0.37,0.39,295,0.58,0.65,0.68,8.91,0.47,76.5,79.8,78.1,-0.64,-0.44,-0.54
CAN,Canada,Cntry/Terr,"37,742.157",4.2,7.71,256,0.43,0.37,0.39,298,0.55,0.47,0.50,8.47,0.45,80.0,84.0,81.9,-0.63,-0.54,-0.59
