,Location,Loc_type,Mid2020Pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
126,Poland,Cntry/Terr,37847,123.6,10.37,92,0.13,0.1,0.12,145,0.09,0.07,0.08,74.9,82.6,-0.04,-0.06
164,United Arab Emirates,Cntry/Terr,9890,118.3,1.62,83,0.13,0.47,0.58,NA,NA,NA,NA,NA,NA,NA,NA
141,Serbia,Cntry/Terr,8737,99.9,13.23,84,0.13,0.1,0.13,137,0.09,0.08,0.09,73.5,78.7,-0.03,-0.06
85,Lithuania,Cntry/Terr,2722,43.4,14,84,0.12,0.07,0.09,137,0.11,0.07,0.08,70.4,81.3,-0.03,-0.07
22,Croatia,Cntry/Terr,4105,73.4,13.22,80,0.12,0.08,0.1,133,0.08,0.05,0.06,75.4,81.6,-0.02,-0.06
130,Qatar,Cntry/Terr,2881,248.2,1.32,76,0.12,0.4,0.49,NA,NA,NA,NA,NA,NA,NA,NA
92,Malta,Cntry/Terr,442,1379.8,8.6,65,0.11,0.08,0.1,NA,NA,NA,NA,NA,NA,NA,NA
139,Saudi Arabia,Cntry/Terr,34814,16.2,3.58,80,0.11,0.3,0.37,NA,NA,NA,NA,NA,NA,NA,NA
148,South Africa,Cntry/Terr,59309,48.9,9.45,77,0.1,0.26,0.32,NA,NA,NA,NA,NA,NA,NA,NA
1,Bulgaria,Cntry/Terr,6948,64,15.51,94,0.09,0.07,0.08,147,0.07,0.05,0.06,71.7,78.7,-0.02,-0.07
106,Oman,Cntry/Terr,5107,16.5,2.45,73,0.09,0.29,0.36,NA,NA,NA,NA,NA,NA,NA,NA
94,Mauritania,Cntry/Terr,4650,4.5,7.06,70,0.08,0.33,0.4,NA,NA,NA,NA,NA,NA,NA,NA
95,Bahrain,Cntry/Terr,1702,2238.9,2.47,89,0.08,0.26,0.32,NA,NA,NA,NA,NA,NA,NA,NA
239,Montana,U.S.A.,1076,2.9,9.71,75,0.08,0.06,0.07,186,0.04,0.03,0.04,76.6,81,-0.03,-0.07
169,Ukraine,Cntry/Terr,43734,75.5,15.19,91,0.08,0.07,0.09,144,0.12,0.1,0.13,67.2,76.9,-0.03,-0.09
214,Alaska,U.S.A.,745,0.5,5.96,69,0.08,0.09,0.11,180,0.03,0.03,0.04,76.2,81.2,-0.02,-0.08
52,Guatemala,Cntry/Terr,17916,167.2,4.72,90,0.08,0.19,0.23,NA,NA,NA,NA,NA,NA,NA,NA
80,Latvia,Cntry/Terr,1886,30.3,14.78,70,0.07,0.05,0.06,123,0.05,0.03,0.04,70.4,80,-0.01,-0.05
47,Greece,Cntry/Terr,10423,80.9,11.09,93,0.07,0.04,0.05,146,0.05,0.03,0.03,80,84.7,-0.02,-0.04
5,Algeria,Cntry/Terr,43851,18.4,4.73,93,0.07,0.13,0.16,NA,NA,NA,NA,NA,NA,NA,NA
100,Montenegro,Cntry/Terr,628,46.7,10.77,79,0.07,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,NA
51,Argentina,Cntry/Terr,45196,16.5,7.61,97,0.06,0.08,0.09,150,0.15,0.18,0.22,73.3,79.9,-0.09,-0.18
24,Cyprus,Cntry/Terr,1207,130.7,7.2,86,0.06,0.06,0.07,139,0.04,0.04,0.05,79.1,83.1,-0.02,-0.05
9,Cayman Islands,Cntry/Terr,66,273.8,NA,89,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,Hawaii,U.S.A.,1440,86.5,7.98,71,0.06,0.04,0.05,182,0.56,0.38,0.46,78.6,84.9,-0.4,-0.47
54,Guyana,Cntry/Terr,787,4,7.67,92,0.06,0.11,0.14,NA,NA,NA,NA,NA,NA,NA,NA
32,Equatorial Guinea,Cntry/Terr,1403,50,8.94,52,0.06,0.29,0.36,NA,NA,NA,NA,NA,NA,NA,NA
31,El Salvador,Cntry/Terr,6486,313,7.11,72,0.05,0.08,0.1,NA,NA,NA,NA,NA,NA,NA,NA
171,Egypt,Cntry/Terr,102334,102.8,5.77,96,0.05,0.13,0.16,149,0.05,0.13,0.16,69.8,74.3,-0.05,-0.18
8,Cabo Verde,Cntry/Terr,556,138,5.56,77,0.05,0.12,0.15,NA,NA,NA,NA,NA,NA,NA,NA
168,Albania,Cntry/Terr,2878,105,8.26,91,0.05,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA
72,Afghanistan,Cntry/Terr,38928,59.6,6.21,82,0.05,0.23,0.29,NA,NA,NA,NA,NA,NA,NA,NA
120,Pakistan,Cntry/Terr,220892,286.5,6.86,85,0.05,0.14,0.17,NA,NA,NA,NA,NA,NA,NA,NA
128,Guinea-Bissau,Cntry/Terr,1968,70,9.32,47,0.05,0.23,0.28,NA,NA,NA,NA,NA,NA,NA,NA
38,French Guiana,Cntry/Terr,299,3.6,3,53,0.05,0.11,0.14,NA,NA,NA,NA,NA,NA,NA,NA
160,Tajikistan,Cntry/Terr,9538,68.1,4.75,41,0.05,0.16,0.2,NA,NA,NA,NA,NA,NA,NA,NA
48,Azerbaijan,Cntry/Terr,10139,122.7,6.89,86,0.05,0.08,0.1,NA,NA,NA,NA,NA,NA,NA,NA
40,Gabon,Cntry/Terr,2226,8.6,6.69,84,0.05,0.16,0.19,NA,NA,NA,NA,NA,NA,NA,NA
142,Sierra Leone,Cntry/Terr,7977,110.5,11.38,52,0.04,0.19,0.24,NA,NA,NA,NA,NA,NA,NA,NA
64,Iraq,Cntry/Terr,40223,92.6,4.74,100,0.04,0.15,0.19,NA,NA,NA,NA,NA,NA,NA,NA
114,Nicaragua,Cntry/Terr,6625,55,5.1,77,0.04,0.09,0.11,NA,NA,NA,NA,NA,NA,NA,NA
183,Yemen,Cntry/Terr,29826,56.5,5.97,43,0.04,0.17,0.21,NA,NA,NA,NA,NA,NA,NA,NA
153,Sudan,Cntry/Terr,43849,24.8,7.06,89,0.04,0.14,0.17,NA,NA,NA,NA,NA,NA,NA,NA
6,Cameroon,Cntry/Terr,26546,56.2,8.95,80,0.04,0.17,0.21,NA,NA,NA,NA,NA,NA,NA,NA
96,Mauritius,Cntry/Terr,1272,626.5,8.71,80,0.04,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA
12,Chad,Cntry/Terr,16426,13,11.75,45,0.04,0.18,0.23,NA,NA,NA,NA,NA,NA,NA,NA
180,Uruguay,Cntry/Terr,3474,19.8,9.48,73,0.03,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,NA
81,Liberia,Cntry/Terr,5058,52.5,7.34,69,0.03,0.13,0.16,NA,NA,NA,NA,NA,NA,NA,NA
23,Cuba,Cntry/Terr,11327,106.4,9.29,86,0.03,0.03,0.03,139,0.02,0.02,0.02,77,80.8,-0.01,-0.05
55,Haiti,Cntry/Terr,11403,413.7,8.42,67,0.03,0.08,0.1,NA,NA,NA,NA,NA,NA,NA,NA
147,Somalia,Cntry/Terr,15893,25.3,10.54,65,0.03,0.14,0.17,NA,NA,NA,NA,NA,NA,NA,NA
62,Indonesia,Cntry/Terr,273524,151,6.6,94,0.03,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,NA
145,Slovakia,Cntry/Terr,5460,113.5,10.12,67,0.03,0.02,0.03,120,0.02,0.01,0.02,74.2,81,-0.01,-0.04
176,Belize,Cntry/Terr,398,17.4,4.81,67,0.03,0.06,0.08,NA,NA,NA,NA,NA,NA,NA,NA
101,Bangladesh,Cntry/Terr,164689,1265.2,5.54,85,0.03,0.06,0.07,NA,NA,NA,NA,NA,NA,NA,NA
152,South Sudan,Cntry/Terr,11194,18.3,10.23,29,0.03,0.1,0.13,NA,NA,NA,NA,NA,NA,NA,NA
110,Cura?ßao,Cntry/Terr,164,369.6,9.08,83,0.03,0.02,0.03,NA,NA,NA,NA,NA,NA,NA,NA
163,Trinidad and Tobago,Cntry/Terr,1399,272.8,8.67,79,0.03,0.03,0.04,NA,NA,NA,NA,NA,NA,NA,NA
125,Philippines,Cntry/Terr,109581,367.5,6,132,0.03,0.06,0.08,185,0.02,0.06,0.07,67.4,75.4,-0.03,-0.21
91,Mali,Cntry/Terr,20251,16.6,9.23,71,0.02,0.13,0.16,NA,NA,NA,NA,NA,NA,NA,NA
60,India,Cntry/Terr,1380004,464.1,7.33,92,0.02,0.05,0.06,NA,NA,NA,NA,NA,NA,NA,NA
103,Morocco,Cntry/Terr,36911,82.7,5.09,94,0.02,0.04,0.05,NA,NA,NA,NA,NA,NA,NA,NA
