Location,loc_type_fin,Pop_Mid2020,Density_Mid2020,CDR_Yr_Last,days_2021,CCDR_2021,CCMR_2021,ISCDR_2021,days_l12m,CCDR_l12m,CCMR_l12m,ISCDR_l12m,CDR_l12m,e0_l12m_M,e0_l12m_F,e0_l12m_B,e0_Diff_M,e0_Diff_F,e0_Diff_B
Illinois,U.S.A.,"12,887.403",89.5,8.57,90,1.75,1.06,1.75,365,1.82,1.10,1.82,10.88,74.4,79.7,77.0,-2.24,-1.93,-2.09
Argentina,Cntry/Terr,"45,195.777",16.5,7.61,90,1.12,1.00,1.65,365,1.23,1.10,1.82,8.93,71.7,78.5,75.0,-1.68,-1.65,-1.67
Arkansas,U.S.A.,"3,049.575",22.6,10.85,90,2.58,1.53,2.53,365,1.84,1.09,1.80,13.00,71.7,77.2,74.4,-1.85,-1.59,-1.72
Alagoas,Brazil,"3,375.667",121.2,NA,90,1.25,1.29,2.14,365,1.05,1.08,1.78,NA,NA,NA,NA,NA,NA,NA
Veracruz de Ignacio de la Llave,Mexico,"8,831.401",122.9,5.90,90,1.14,1.23,2.03,365,1.00,1.07,1.78,8.25,69.8,76.2,72.9,-1.70,-1.45,-1.58
Republic of Moldova,Cntry/Terr,"4,033.963",122.8,11.62,90,1.94,1.71,2.83,365,1.22,1.07,1.78,13.15,66.7,75.1,70.8,-1.00,-1.09,-1.04
Michoacan de Ocampo,Mexico,"4,992.690",85.1,5.55,90,1.88,1.99,3.29,365,1.02,1.07,1.78,8.13,70.7,75.8,73.2,-1.84,-1.42,-1.64
Tennessee,U.S.A.,"6,847.752",64.1,10.44,90,2.95,1.83,3.03,365,1.73,1.07,1.78,12.46,71.9,77.3,74.6,-1.83,-1.56,-1.69
New Mexico,U.S.A.,"2,121.624",6.7,8.94,90,2.78,1.60,2.65,365,1.85,1.07,1.76,11.30,73.0,79.2,76.0,-2.22,-1.99,-2.11
Amazonas (PE),Peru,423.381,10.8,NA,90,1.04,1.29,2.14,365,0.86,1.06,1.76,13.98,66.1,70.1,68.0,-1.06,-0.84,-0.96
South Carolina,U.S.A.,"5,145.408",66.0,9.84,90,3.02,1.80,2.98,365,1.77,1.05,1.75,12.09,72.5,78.2,75.3,-1.91,-1.66,-1.79
Bahia,Brazil,"15,043.792",26.6,NA,90,1.63,1.68,2.78,365,1.01,1.04,1.72,NA,NA,NA,NA,NA,NA,NA
Castilla-La Mancha,Spain,"2,021.012",25.4,9.54,90,3.35,1.40,2.31,365,2.46,1.03,1.70,12.92,78.9,84.2,81.5,-2.52,-2.20,-2.36
Iran (Islamic Republic of),Cntry/Terr,"83,992.953",51.6,4.88,90,0.35,0.51,0.84,365,0.71,1.02,1.69,5.62,74.2,77.0,75.5,-1.58,-1.08,-1.34
Armenia,Cntry/Terr,"2,963.234",104.1,9.91,90,0.92,0.80,1.32,365,1.18,1.02,1.68,10.67,70.2,77.4,73.7,-1.30,-1.19,-1.25
Pennsylvania,U.S.A.,"12,966.170",111.7,10.59,90,2.84,1.48,2.45,365,1.93,1.00,1.66,12.88,73.6,79.3,76.4,-1.92,-1.70,-1.81
United States of America,Cntry/Terr,"331,002.647",36.2,8.69,90,2.51,1.52,2.51,365,1.66,1.00,1.66,10.71,74.4,79.7,77.0,-2.06,-1.78,-1.93
Bulgaria,Cntry/Terr,"6,948.445",64.0,15.38,90,3.21,1.67,2.77,365,1.88,0.98,1.63,17.41,70.4,77.6,73.9,-1.25,-1.14,-1.19
Iowa,U.S.A.,"3,194.037",22.1,9.71,90,2.33,1.28,2.11,365,1.79,0.98,1.62,11.72,74.9,80.0,77.4,-1.99,-1.72,-1.86
Iraq,Cntry/Terr,"40,222.503",92.6,4.80,90,0.15,0.41,0.68,365,0.35,0.98,1.62,5.13,67.6,72.0,69.7,-1.08,-0.83,-0.96
Kansas,U.S.A.,"2,945.539",13.9,9.29,90,2.92,1.72,2.85,365,1.65,0.97,1.60,11.31,74.4,79.4,76.8,-1.93,-1.64,-1.79
Chile,Cntry/Terr,"19,116.209",25.7,6.12,90,1.38,1.10,1.83,365,1.21,0.97,1.60,7.70,75.9,80.7,78.3,-2.10,-1.81,-1.96
California,U.S.A.,"40,011.015",99.0,6.78,90,3.37,2.20,3.64,365,1.47,0.96,1.59,8.71,76.4,81.5,78.9,-2.33,-2.03,-2.18
United Kingdom,Cntry/Terr,"67,886.004",280.6,9.38,90,3.18,1.65,2.74,365,1.84,0.96,1.58,11.34,77.6,81.4,79.5,-2.15,-1.71,-1.93
Ayacucho,Peru,688.200,15.7,NA,90,1.33,1.45,2.41,365,0.88,0.96,1.58,15.79,66.2,70.7,68.4,-0.96,-0.81,-0.89
Lombardia,Italy,"10,073.686",422.2,9.90,90,2.22,0.90,1.49,365,2.33,0.95,1.57,12.76,78.3,84.1,81.1,-2.28,-2.06,-2.17
Belgium,Cntry/Terr,"11,589.616",382.7,9.79,90,1.20,0.59,0.98,365,1.92,0.95,1.57,11.84,77.4,82.2,79.8,-2.07,-1.78,-1.93
Michigan,U.S.A.,"10,114.528",68.7,9.80,90,1.64,0.93,1.54,365,1.66,0.94,1.56,11.97,73.7,79.0,76.3,-1.82,-1.54,-1.68
Slovenia,Cntry/Terr,"2,078.932",103.2,9.94,90,2.62,1.27,2.10,365,1.94,0.94,1.55,12.46,76.9,82.4,79.6,-1.89,-1.72,-1.81
Friuli-Venezia Giulia,Italy,"1,218.962",155.1,11.90,90,5.48,1.93,3.20,365,2.61,0.92,1.52,14.80,78.6,83.9,81.2,-2.24,-2.02,-2.13
Aragon,Spain,"1,315.017",27.6,10.26,90,2.17,0.82,1.36,365,2.41,0.91,1.50,13.94,78.9,84.6,81.7,-2.21,-2.07,-2.14
Bolzano (Provincia autonoma di),Italy,531.191,71.8,8.30,90,2.93,1.33,2.20,365,1.97,0.89,1.48,10.92,78.2,84.5,81.3,-2.31,-2.00,-2.16
Ohio,U.S.A.,"11,827.215",111.5,10.61,90,3.31,1.87,3.10,365,1.57,0.89,1.47,12.48,72.9,78.4,75.6,-1.62,-1.40,-1.51
Delaware,U.S.A.,979.254,193.4,9.54,90,2.62,1.44,2.38,365,1.58,0.87,1.44,11.60,74.1,79.8,76.9,-1.76,-1.55,-1.66
Maranhao,Brazil,"7,156.397",21.7,NA,90,0.87,0.89,1.48,365,0.84,0.87,1.44,NA,NA,NA,NA,NA,NA,NA
Paraguay,Cntry/Terr,"7,132.530",18.0,5.48,90,1.08,1.58,2.61,365,0.58,0.85,1.41,6.26,70.9,75.4,73.1,-1.39,-1.12,-1.26
Maryland,U.S.A.,"6,109.605",241.3,8.25,90,1.58,0.99,1.64,365,1.35,0.85,1.40,9.97,74.6,80.2,77.3,-1.81,-1.61,-1.71
Emilia-Romagna,Italy,"4,468.697",164.5,11.20,90,3.74,1.38,2.29,365,2.29,0.85,1.40,13.83,78.7,84.2,81.4,-2.11,-1.85,-1.98
Trento (Provincia autonoma di),Italy,541.866,87.3,9.30,90,2.54,1.04,1.72,365,2.06,0.84,1.40,11.81,78.8,84.7,81.7,-2.27,-1.96,-2.12
Honduras,Cntry/Terr,"9,904.608",88.5,4.44,90,0.60,1.09,1.80,365,0.46,0.84,1.39,5.03,71.6,76.4,73.9,-1.57,-1.33,-1.45
Ceuta,Spain,83.673,"4,183.6",6.29,90,1.74,1.29,2.13,365,1.12,0.83,1.37,8.02,77.4,81.5,79.4,-1.79,-1.42,-1.61
Tunisia,Cntry/Terr,"11,818.618",76.1,6.26,90,1.41,1.57,2.61,365,0.74,0.83,1.37,7.12,73.6,77.9,75.7,-1.28,-1.04,-1.16
Oman,Cntry/Terr,"5,106.622",16.5,2.44,90,0.14,0.34,0.57,365,0.33,0.83,1.37,2.83,74.8,79.0,76.9,-1.53,-1.44,-1.49
Veneto,Italy,"4,914.725",267.2,10.00,90,3.34,1.34,2.22,365,2.06,0.82,1.37,12.50,78.8,84.5,81.6,-2.04,-1.81,-1.93
Missouri,U.S.A.,"6,200.300",34.7,10.12,90,2.06,1.19,1.96,365,1.42,0.82,1.36,11.85,73.4,78.8,76.1,-1.55,-1.36,-1.46
Kentucky,U.S.A.,"4,519.893",43.9,10.82,90,3.09,1.88,3.12,365,1.34,0.82,1.35,12.81,71.6,76.9,74.2,-1.33,-1.14,-1.24
"Rioja, La",Spain,315.741,62.6,10.00,90,2.03,0.79,1.32,365,2.07,0.81,1.34,12.99,79.3,85.0,82.1,-1.97,-1.91,-1.94
Castilla y Leon,Spain,"2,401.521",25.5,11.91,90,2.60,0.82,1.36,365,2.52,0.79,1.31,15.76,79.7,85.1,82.3,-2.07,-1.93,-2.00
Madrid (Comunidad de),Spain,"6,611.809",823.6,7.06,90,1.67,0.81,1.34,365,1.63,0.79,1.31,9.48,80.4,85.6,82.9,-2.15,-2.00,-2.08
Poland,Cntry/Terr,"37,846.605",123.6,10.09,90,2.55,1.43,2.38,365,1.38,0.78,1.29,11.96,73.6,81.3,77.3,-1.38,-1.39,-1.38
Piemonte,Italy,"4,369.052",172.3,12.30,90,2.18,0.78,1.29,365,2.15,0.77,1.28,14.93,78.0,83.8,80.8,-1.80,-1.58,-1.69
