LocID,Location,Loc_type,Mid_2020_pop,PopDensity,CDR_year,Days_Est,CCDR_Est,CCMR_Est,ISCDR_Est,Days_Proj,CCDR_Proj,CCMR_Proj,ISCDR_Proj,2020_e0_M,2020_e0_F,Diff_e0_M,Diff_e0_F
POL,Poland,Cntry/Terr,"37,846.605",123.6,10.37,114,0.13,0.10,0.12,204,0.20,0.16,0.19,74.9,82.5,-0.12,-0.15
SSD,South Sudan,Cntry/Terr,"11,193.729",18.3,10.23,51,0.02,0.10,0.12,141,0.20,0.85,0.98,56.4,58.8,-0.19,-0.81
ES19,Melilla,Spain,85.187,"7,098.9",5.78,101,0.09,0.10,0.11,191,0.49,0.58,0.67,71.4,82.3,-0.27,-0.42
IT18,Calabria,Italy,"1,949.987","128,147.1",10.10,111,0.16,0.10,0.11,201,0.13,0.08,0.09,79.0,85.1,-0.08,-0.10
IT17,Basilicata,Italy,564.286,"56,076.9",11.10,103,0.17,0.09,0.11,193,0.20,0.11,0.13,78.6,85.4,-0.10,-0.12
BGD,Bangladesh,Cntry/Terr,"164,689.383","1,265.2",5.54,107,0.04,0.09,0.11,197,0.38,0.89,1.02,70.6,74.2,-0.50,-0.64
GLP,Guadeloupe,Cntry/Terr,400.127,245.8,8.49,99,0.13,0.09,0.11,NA,NA,NA,NA,NA,NA,NA,NA
IND,India,Cntry/Terr,"1,380,004.385",464.1,7.33,114,0.04,0.09,0.11,NA,NA,NA,NA,NA,NA,NA,NA
ISL,Iceland,Cntry/Terr,341.250,3.4,6.79,106,0.10,0.09,0.11,196,0.06,0.06,0.07,81.6,84.5,-0.06,-0.06
CZE,Czechia,Cntry/Terr,"10,708.982",138.6,10.68,104,0.12,0.09,0.11,194,0.06,0.05,0.06,76.9,82.0,-0.03,-0.05
US02,Alaska,U.S.A.,745.469,0.5,5.96,91,0.08,0.09,0.11,181,0.05,0.06,0.07,76.2,81.2,-0.04,-0.10
MTQ,Martinique,Cntry/Terr,375.265,354.0,9.40,101,0.14,0.09,0.10,NA,NA,NA,NA,NA,NA,NA,NA
UKR,Ukraine,Cntry/Terr,"43,733.759",75.5,15.19,113,0.09,0.08,0.10,203,0.31,0.29,0.33,67.1,76.8,-0.11,-0.18
BRB,Barbados,Cntry/Terr,287.371,668.3,9.14,89,0.10,0.08,0.09,179,0.32,0.27,0.31,77.7,80.3,-0.24,-0.26
ALB,Albania,Cntry/Terr,"2,877.800",105.0,8.26,113,0.08,0.08,0.09,203,0.82,0.85,0.98,76.5,79.8,-0.62,-0.51
BGR,Bulgaria,Cntry/Terr,"6,948.445",64.0,15.51,116,0.11,0.08,0.09,206,0.23,0.17,0.20,71.6,78.6,-0.09,-0.13
IDN,Indonesia,Cntry/Terr,"273,523.621",151.0,6.60,116,0.03,0.08,0.09,NA,NA,NA,NA,NA,NA,NA,NA
PHL,Philippines,Cntry/Terr,"109,581.085",367.5,6.00,154,0.03,0.07,0.08,244,0.16,0.42,0.48,67.2,75.2,-0.22,-0.43
KAZ,Kazakhstan,Cntry/Terr,"18,776.707",7.0,7.24,99,0.04,0.07,0.08,189,0.45,0.85,0.97,68.8,77.2,-0.35,-0.43
MNE,Montenegro,Cntry/Terr,628.062,46.7,10.77,101,0.07,0.07,0.08,191,0.03,0.03,0.04,74.6,79.4,-0.02,-0.04
HRV,Croatia,Cntry/Terr,"4,105.268",73.4,13.22,102,0.10,0.07,0.08,192,0.70,0.49,0.57,75.2,81.4,-0.30,-0.30
LTU,Lithuania,Cntry/Terr,"2,722.291",43.4,14.00,106,0.10,0.06,0.07,196,0.06,0.04,0.04,70.4,81.4,-0.02,-0.07
MLT,Malta,Cntry/Terr,441.539,"1,379.8",8.60,87,0.09,0.06,0.07,177,0.04,0.03,0.03,80.8,84.3,-0.02,-0.06
US30,Montana,U.S.A.,"1,076.137",2.9,9.71,97,0.08,0.06,0.07,187,0.09,0.07,0.08,76.6,80.9,-0.06,-0.10
GIN,Guinea,Cntry/Terr,"13,132.792",53.4,8.11,80,0.01,0.06,0.07,170,0.04,0.19,0.22,61.0,61.8,-0.05,-0.58
BRN,Brunei Darussalam,Cntry/Terr,437.483,83.0,4.68,99,0.03,0.06,0.07,189,0.01,0.02,0.03,74.8,77.2,-0.01,-0.08
NER,Niger,Cntry/Terr,"24,206.636",19.1,7.89,100,0.01,0.06,0.07,190,0.01,0.05,0.06,61.5,63.4,-0.02,-0.56
GHA,Ghana,Cntry/Terr,"31,072.945",136.6,7.19,103,0.01,0.06,0.06,193,0.67,2.79,3.20,62.3,64.5,-0.89,-0.90
